Rank,Product,Category,Designer,Model / Search Link,License,Verification,Image File,Est. Print Hours,Est. Filament g,Est. Material Cost,Supports,Layer Height mm,Difficulty,Best Colors,Price Low,Price High,Est. Profit,Profit Score (1-5),Beginner Score (1-5),Customization Ideas,Suggested Listing Title,SEO Tags,Website Category,Season,Legal / Production Notes
56,Under-Desk Cable Raceway,Cable Management,Select after review,https://www.printables.com/search/models?q=Under-Desk%20Cable%20Raceway&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/056_Under_Desk_Cable_Raceway.png,1.4,38,0.68,Usually no,0.3,Easy,"Black, gray, white",8,15,9.57,3,5,Size variants; screw/adhesive versions; logo; color coding,3D Printed Under-Desk Cable Raceway – Custom Colors,"under, desk, cable, raceway, 3d printed, custom gift",Cable Management,Year-round,Re-check the live model page immediately before first commercial sale.
57,Earbud Case Holder,Phone & Tech,Select after review,https://www.printables.com/search/models?q=Earbud%20Case%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/057_Earbud_Case_Holder.png,2.1,60,1.08,Usually no,0.4,Easy,"Matte black, white, brand colors",12,24,15.67,4,5,Name/logo; cable slot; device-size options; multi-color accent,3D Printed Earbud Case Holder – Custom Colors,"earbud, case, holder, 3d printed, custom gift",Phone & Tech,Year-round,Re-check the live model page immediately before first commercial sale.
58,Laptop Vertical Stand,Phone & Tech,Select after review,https://www.printables.com/search/models?q=Laptop%20Vertical%20Stand&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/058_Laptop_Vertical_Stand.png,2.1,60,1.08,Usually no,0.4,Easy,"Matte black, white, brand colors",12,24,15.67,4,5,Name/logo; cable slot; device-size options; multi-color accent,3D Printed Laptop Vertical Stand – Custom Colors,"laptop, vertical, stand, 3d printed, custom gift",Phone & Tech,Year-round,Re-check the live model page immediately before first commercial sale.
59,Webcam Privacy Slider,Phone & Tech,Select after review,https://www.printables.com/search/models?q=Webcam%20Privacy%20Slider&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/059_Webcam_Privacy_Slider.png,2.1,60,1.08,Usually no,0.4,Easy,"Matte black, white, brand colors",12,24,15.67,4,5,Name/logo; cable slot; device-size options; multi-color accent,3D Printed Webcam Privacy Slider – Custom Colors,"webcam, privacy, slider, 3d printed, custom gift",Phone & Tech,Year-round,Re-check the live model page immediately before first commercial sale.
60,Pen Cup,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Pen%20Cup&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/060_Pen_Cup.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Pen Cup – Custom Colors,"pen, cup, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
61,Business Card Holder,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Business%20Card%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/061_Business_Card_Holder.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Business Card Holder – Custom Colors,"business, card, holder, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
62,Sticky Note Holder,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Sticky%20Note%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/062_Sticky_Note_Holder.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Sticky Note Holder – Custom Colors,"sticky, note, holder, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
63,Paper Clip Dish,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Paper%20Clip%20Dish&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/063_Paper_Clip_Dish.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Paper Clip Dish – Custom Colors,"paper, clip, dish, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
64,Monitor Memo Board,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Monitor%20Memo%20Board&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/064_Monitor_Memo_Board.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Monitor Memo Board – Custom Colors,"monitor, memo, board, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
65,Desk Name Plate,Desk Accessories,Select after review,https://www.printables.com/search/models?q=Desk%20Name%20Plate&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/065_Desk_Name_Plate.png,2.6,72,1.3,Usually no,0.24,Easy,"Matte, marble, business colors",8,25,13.95,5,5,Logo; name; compartment options; matching office set,3D Printed Desk Name Plate – Custom Colors,"desk, name, plate, 3d printed, custom gift",Desk Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
66,Coaster Set,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Coaster%20Set&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/066_Coaster_Set.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Coaster Set – Custom Colors,"coaster, set, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
67,Bag Clip Set,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Bag%20Clip%20Set&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/067_Bag_Clip_Set.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Bag Clip Set – Custom Colors,"bag, clip, set, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
68,Sponge Holder,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Sponge%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/068_Sponge_Holder.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Sponge Holder – Custom Colors,"sponge, holder, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
69,Soap Dish,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Soap%20Dish&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/069_Soap_Dish.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Soap Dish – Custom Colors,"soap, dish, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
70,Tea Bag Organizer,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Tea%20Bag%20Organizer&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/070_Tea_Bag_Organizer.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Tea Bag Organizer – Custom Colors,"tea, bag, organizer, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
71,Measuring Spoon Holder,Home & Kitchen,Select after review,https://www.printables.com/search/models?q=Measuring%20Spoon%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/071_Measuring_Spoon_Holder.png,2.9,80,1.44,Usually no,0.24,Easy,"Neutral, marble, bright",8,24,13.31,4,5,Size options; labels; drain holes; bundle sets,3D Printed Measuring Spoon Holder – Custom Colors,"measuring, spoon, holder, 3d printed, custom gift",Home & Kitchen,Year-round,Re-check the live model page immediately before first commercial sale.
72,Toothbrush Stand,Bathroom,Select after review,https://www.printables.com/search/models?q=Toothbrush%20Stand&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/072_Toothbrush_Stand.png,2.4,68,1.22,Usually no,0.24,Easy,"White, marble, translucent PETG",8,22,12.53,4,5,Drainage; family names; matching sets; wall mount,3D Printed Toothbrush Stand – Custom Colors,"toothbrush, stand, 3d printed, custom gift",Bathroom,Year-round,Re-check the live model page immediately before first commercial sale.
73,Razor Holder,Bathroom,Select after review,https://www.printables.com/search/models?q=Razor%20Holder&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/073_Razor_Holder.png,2.4,68,1.22,Usually no,0.24,Easy,"White, marble, translucent PETG",8,22,12.53,4,5,Drainage; family names; matching sets; wall mount,3D Printed Razor Holder – Custom Colors,"razor, holder, 3d printed, custom gift",Bathroom,Year-round,Re-check the live model page immediately before first commercial sale.
74,Cotton Swab Jar,Bathroom,Select after review,https://www.printables.com/search/models?q=Cotton%20Swab%20Jar&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/074_Cotton_Swab_Jar.png,2.4,68,1.22,Usually no,0.24,Easy,"White, marble, translucent PETG",8,22,12.53,4,5,Drainage; family names; matching sets; wall mount,3D Printed Cotton Swab Jar – Custom Colors,"cotton, swab, jar, 3d printed, custom gift",Bathroom,Year-round,Re-check the live model page immediately before first commercial sale.
75,Plant Pot,Planters,Select after review,https://www.printables.com/search/models?q=Plant%20Pot&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/075_Plant_Pot.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Plant Pot – Custom Colors,"plant, pot, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
76,Self-Watering Planter,Planters,Select after review,https://www.printables.com/search/models?q=Self-Watering%20Planter&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/076_Self_Watering_Planter.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Self-Watering Planter – Custom Colors,"self, watering, planter, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
77,Propagation Tube Stand,Planters,Select after review,https://www.printables.com/search/models?q=Propagation%20Tube%20Stand&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/077_Propagation_Tube_Stand.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Propagation Tube Stand – Custom Colors,"propagation, tube, stand, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
78,Succulent Pot,Planters,Select after review,https://www.printables.com/search/models?q=Succulent%20Pot&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/078_Succulent_Pot.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Succulent Pot – Custom Colors,"succulent, pot, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
79,Hanging Planter,Planters,Select after review,https://www.printables.com/search/models?q=Hanging%20Planter&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/079_Hanging_Planter.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Hanging Planter – Custom Colors,"hanging, planter, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
80,Seed Starter Tray,Planters,Select after review,https://www.printables.com/search/models?q=Seed%20Starter%20Tray&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/080_Seed_Starter_Tray.png,4.7,132,2.38,Usually no,0.28,Easy–Medium,"Terracotta, marble, wood",10,38,20.37,4,4,Drainage tray; custom text; geometric texture; size sets,3D Printed Seed Starter Tray – Custom Colors,"seed, starter, tray, 3d printed, custom gift",Planters,Year-round,Re-check the live model page immediately before first commercial sale.
81,Keychain Name Tag,Keychains & Small Gifts,Select after review,https://www.printables.com/search/models?q=Keychain%20Name%20Tag&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/081_Keychain_Name_Tag.png,0.8,22,0.4,Usually no,0.2,Easy,"Bright, metallic, glow",4,12,6.35,3,5,Names; initials; QR code; color layers,3D Printed Keychain Name Tag – Custom Colors,"keychain, name, tag, 3d printed, custom gift",Keychains & Small Gifts,Year-round,Re-check the live model page immediately before first commercial sale.
82,Shopping Cart Token,Keychains & Small Gifts,Select after review,https://www.printables.com/search/models?q=Shopping%20Cart%20Token&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/082_Shopping_Cart_Token.png,0.8,22,0.4,Usually no,0.2,Easy,"Bright, metallic, glow",4,12,6.35,3,5,Names; initials; QR code; color layers,3D Printed Shopping Cart Token – Custom Colors,"shopping, cart, token, 3d printed, custom gift",Keychains & Small Gifts,Year-round,Re-check the live model page immediately before first commercial sale.
83,Mini Flashlight Keychain,Keychains & Small Gifts,Select after review,https://www.printables.com/search/models?q=Mini%20Flashlight%20Keychain&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/083_Mini_Flashlight_Keychain.png,0.8,22,0.4,Usually no,0.2,Easy,"Bright, metallic, glow",4,12,6.35,3,5,Names; initials; QR code; color layers,3D Printed Mini Flashlight Keychain – Custom Colors,"mini, flashlight, keychain, 3d printed, custom gift",Keychains & Small Gifts,Year-round,Re-check the live model page immediately before first commercial sale.
84,Pet ID Tag,Pet Accessories,Select after review,https://www.printables.com/search/models?q=Pet%20ID%20Tag&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/084_Pet_ID_Tag.png,2.1,58,1.04,Usually no,0.24,Easy,Pet color themes,6,22,11.71,4,5,Pet name; phone number; breed silhouette; size options,3D Printed Pet ID Tag – Custom Colors,"pet, id, tag, 3d printed, custom gift",Pet Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
85,Dog Leash Hook,Pet Accessories,Select after review,https://www.printables.com/search/models?q=Dog%20Leash%20Hook&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/085_Dog_Leash_Hook.png,2.1,58,1.04,Usually no,0.24,Easy,Pet color themes,6,22,11.71,4,5,Pet name; phone number; breed silhouette; size options,3D Printed Dog Leash Hook – Custom Colors,"dog, leash, hook, 3d printed, custom gift",Pet Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
86,Cat Toy Ball,Pet Accessories,Select after review,https://www.printables.com/search/models?q=Cat%20Toy%20Ball&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/086_Cat_Toy_Ball.png,2.1,58,1.04,Usually no,0.24,Easy,Pet color themes,6,22,11.71,4,5,Pet name; phone number; breed silhouette; size options,3D Printed Cat Toy Ball – Custom Colors,"cat, toy, ball, 3d printed, custom gift",Pet Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
87,Treat Scoop,Pet Accessories,Select after review,https://www.printables.com/search/models?q=Treat%20Scoop&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/087_Treat_Scoop.png,2.1,58,1.04,Usually no,0.24,Easy,Pet color themes,6,22,11.71,4,5,Pet name; phone number; breed silhouette; size options,3D Printed Treat Scoop – Custom Colors,"treat, scoop, 3d printed, custom gift",Pet Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
88,Collar Organizer,Pet Accessories,Select after review,https://www.printables.com/search/models?q=Collar%20Organizer&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/088_Collar_Organizer.png,2.1,58,1.04,Usually no,0.24,Easy,Pet color themes,6,22,11.71,4,5,Pet name; phone number; breed silhouette; size options,3D Printed Collar Organizer – Custom Colors,"collar, organizer, 3d printed, custom gift",Pet Accessories,Year-round,Re-check the live model page immediately before first commercial sale.
89,Puzzle Box,Puzzles & Games,Select after review,https://www.printables.com/search/models?q=Puzzle%20Box&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/089_Puzzle_Box.png,3.8,105,1.89,Usually no,0.2,Easy–Medium,Contrasting colors,12,30,17.86,5,4,Difficulty sizes; travel case; personalized lid; family set,3D Printed Puzzle Box – Custom Colors,"puzzle, box, 3d printed, custom gift",Puzzles & Games,Year-round,Re-check the live model page immediately before first commercial sale.
90,Tic Tac Toe Set,Puzzles & Games,Select after review,https://www.printables.com/search/models?q=Tic%20Tac%20Toe%20Set&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/090_Tic_Tac_Toe_Set.png,3.8,105,1.89,Usually no,0.2,Easy–Medium,Contrasting colors,12,30,17.86,5,4,Difficulty sizes; travel case; personalized lid; family set,3D Printed Tic Tac Toe Set – Custom Colors,"tic, tac, toe, set, 3d printed, custom gift",Puzzles & Games,Year-round,Re-check the live model page immediately before first commercial sale.
91,Travel Checkers,Puzzles & Games,Select after review,https://www.printables.com/search/models?q=Travel%20Checkers&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/091_Travel_Checkers.png,3.8,105,1.89,Usually no,0.2,Easy–Medium,Contrasting colors,12,30,17.86,5,4,Difficulty sizes; travel case; personalized lid; family set,3D Printed Travel Checkers – Custom Colors,"travel, checkers, 3d printed, custom gift",Puzzles & Games,Year-round,Re-check the live model page immediately before first commercial sale.
92,Maze Fidget,Toys & Fidgets,Select after review,https://www.printables.com/search/models?q=Maze%20Fidget&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/092_Maze_Fidget.png,2.2,62,1.12,Usually no,0.2,Easy,"Silk, dual-color, glow",8,18,10.63,4,5,Keychain version; texture; multi-color caps; gift bundle,3D Printed Maze Fidget – Custom Colors,"maze, fidget, 3d printed, custom gift",Toys & Fidgets,Year-round,Re-check the live model page immediately before first commercial sale.
93,Infinity Cube,Toys & Fidgets,Select after review,https://www.printables.com/search/models?q=Infinity%20Cube&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/093_Infinity_Cube.png,2.2,62,1.12,Usually no,0.2,Easy,"Silk, dual-color, glow",8,18,10.63,4,5,Keychain version; texture; multi-color caps; gift bundle,3D Printed Infinity Cube – Custom Colors,"infinity, cube, 3d printed, custom gift",Toys & Fidgets,Year-round,Re-check the live model page immediately before first commercial sale.
94,Gear Spinner,Toys & Fidgets,Select after review,https://www.printables.com/search/models?q=Gear%20Spinner&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/094_Gear_Spinner.png,2.2,62,1.12,Usually no,0.2,Easy,"Silk, dual-color, glow",8,18,10.63,4,5,Keychain version; texture; multi-color caps; gift bundle,3D Printed Gear Spinner – Custom Colors,"gear, spinner, 3d printed, custom gift",Toys & Fidgets,Year-round,Re-check the live model page immediately before first commercial sale.
95,Articulated Snake,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Articulated%20Snake&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/095_Articulated_Snake.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Articulated Snake – Custom Colors,"articulated, snake, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
96,Articulated Lizard,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Articulated%20Lizard&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/096_Articulated_Lizard.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Articulated Lizard – Custom Colors,"articulated, lizard, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
97,Robot Figure,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Robot%20Figure&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/097_Robot_Figure.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Robot Figure – Custom Colors,"robot, figure, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
98,Mini Dinosaur,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Mini%20Dinosaur&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/098_Mini_Dinosaur.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Mini Dinosaur – Custom Colors,"mini, dinosaur, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
99,Flexi Fish,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Flexi%20Fish&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/099_Flexi_Fish.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Flexi Fish – Custom Colors,"flexi, fish, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
100,Jointed Caterpillar,Toys & Figures,Select after review,https://www.printables.com/search/models?q=Jointed%20Caterpillar&licenses=7%3A1,REVIEW REQUIRED,Commercial-use filtered search queue,Catalog_Images/100_Jointed_Caterpillar.png,4.3,120,2.16,Check orientation,0.2,Easy–Medium,"Rainbow silk, bright colors",12,28,16.59,5,4,Size tiers; themed colors; name tag; bundle/family sets,3D Printed Jointed Caterpillar – Custom Colors,"jointed, caterpillar, 3d printed, custom gift",Toys & Figures,Year-round,Re-check the live model page immediately before first commercial sale.
